index,importance
beds,0.9422705768496109
number_of_reviews,0.9892142167192088
reviews_per_month,0.9901949001814428
availability_90,1.0324106405801992
maximum_nights,1.211285742844622
first_review_dur,1.2152717805631614
availability_30,1.269507801915447
host_acceptance_rate,1.3173816632024709
last_review_dur,1.4255951862645402
availability_60,1.4929378228671601
cleaning_fee,1.854651877544804
host_duration,1.9529752477039426
availability_365,2.0450347638091637
accommodates,2.0826534270489665
bedrooms,4.176861375265039
latitude,4.7035850293633175
longitude,5.169270911908055
bathrooms,9.142349917831362
room_type_Entire home/apt,36.26313246212875
